Number,Site,Type,Method,pH,SOM,Clay,Silt,Sand,Fe,T_Cd,GP,IP,BA_GP,BA_IP,log_T_Cd,log_GP,log_IP,Predicted_BA_GP,Observed_Bioaccessible_Cd_GP,Predicted_Bioaccessible_Cd_GP,Predicted_Risk_Group
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,6.1,43.27586206896552,9.66,57.97919231582553,31.55171615863516,20.7,25.6,24.9088,13.87264,97.3,54.19,3.2809112157876537,3.2545826793370694,2.6995232833823994,79.45098430815183,24.9088,20.33945198288687,High
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,7.2,36.55172413793104,7.15,57.65933200410635,32.44209645850884,30.2,36.1,19.2052,19.811680000000003,53.2,54.88,3.6136169696133895,3.005939997021412,3.0355143675650864,79.19483899844448,19.2052,28.58933687843846,High
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,8.3,41.55172413793104,8.37,58.4784743334071,31.30191116995717,28.4,59.7,33.13350000000001,13.49817,55.5,22.61,4.1059436980654525,3.530279306737877,2.6740224345652166,70.26992550143454,33.133500000000005,41.95114552435643,High
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,7.8,54.13793103448277,3.44,57.81189701168164,33.4514248853799,211.0,130.0,105.43,24.531,81.1,18.87,4.875197323201151,4.667487492052953,3.2398934000906703,52.839481081867156,105.43,68.69132540642731,High
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,7.8,90.6896551724138,3.83,57.08472612836648,34.20471651896248,34.3,204.0,70.992,111.2004,34.8,54.51,5.3230099791384085,4.276555001731648,4.72028655814463,77.9480134923225,70.992,159.0139475243379,High
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,7.3,46.37931034482759,3.62,56.46459435984497,34.39313806354178,29.9,212.0,162.604,99.1312,76.7,46.76,5.3612921657094255,5.097448873747504,4.6064813260681525,80.91754381676915,162.604,171.5451928915506,High
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,8.9,54.48275862068966,3.51,57.31575862076001,34.20471651896248,29.3,296.0,249.528,126.5992,84.3,42.77,5.6937321388027,5.523570690725504,4.848894101298559,74.67290363089757,249.528,221.03179474745681,High
14.0,体外提取方法对土壤重金属生物可给性的影响,Urban soils,IVG,8.16,12.0,7.853207072264753,59.16441750257643,30.83231514276929,50.21147352221868,1.8,0.27,,15.0,,1.029619417181158,0.2390169004704999,,36.189616796953814,0.27,0.6514131023451687,Low
14.0,体外提取方法对土壤重金属生物可给性的影响,Urban soils,IVG,6.03,11.1,13.22365800142892,56.94409869519186,31.24209653355505,37.386514966764,1.6,0.41,,25.625,,0.9555114450274363,0.3435897043900769,,46.4482989517347,0.41,0.7431727832277553,Low
15.0,株洲市农田土壤重金属生物可给性及其人体健康风险评估(n=42),Agricultural soils,SBET,6.31,28.4,23.3,38.8,37.9,37.97074336435379,4.27,3.349815,,78.45,,1.6620303625532709,1.470133315460588,,44.57550601775658,3.349815,1.9033741069582057,Medium
16.0,土壤中金属的生物可给性及其动态变化的研究,Agricultural soils,PBET,7.28,17.2,0.77,44.1,55.13,21.13,38.9,29.2917,24.9349,75.3,64.1,3.686376323895818,3.410873747597623,3.2555895520026006,67.56876115745791,29.291699999999995,26.284248090251126,High
16.0,土壤中金属的生物可给性及其动态变化的研究,Agricultural soils,PBET,3.66,15.1,0.34,32.97,66.69,191.15,23.1,5.1051,5.751900000000001,22.1,24.9,3.1822118404966093,1.809124487444897,1.9098239467574405,51.697871286007114,5.1051,11.942208267067645,Medium
